Rank,Handle,Rating,Max Rating,Contribution
international grandmaster,ymmparsa,2859,2859,0
international grandmaster,Crystally,2855,3035,0
international grandmaster,PCTprobability,2850,2883,0
international grandmaster,Morphymorphymorphy,2846,2848,0
international grandmaster,GroupMatrix,2845,2845,0
international grandmaster,LHiC,2845,3355,0
international grandmaster,dreamoon_love_AA,2845,3002,0
international grandmaster,Dominater069,2842,2842,0
international grandmaster,cmk666,2835,2919,0
international grandmaster,Sulfox,2834,2921,0
international grandmaster,tatyam,2834,3134,0
international grandmaster,Sana,2833,2917,0
international grandmaster,Xylenox,2833,2972,0
international grandmaster,alireza_kaviani,2826,3012,0
international grandmaster,Sol1,2820,2865,0
international grandmaster,orz,2816,2818,0
international grandmaster,PinkieRabbit,2814,2956,0
international grandmaster,no_dream,2813,2813,0
international grandmaster,Nyaan,2809,2949,0
international grandmaster,snuke,2802,3251,0
international grandmaster,peltorator,2797,2887,0
international grandmaster,QwertyPi,2783,2839,0
international grandmaster,ainta,2782,3318,0
international grandmaster,Noam527,2781,2898,0
international grandmaster,Golovanov399,2780,3303,0
international grandmaster,Flamire,2777,3024,0
international grandmaster,tute7627,2776,3073,0
international grandmaster,CJ_xde_pt,2769,2769,0
international grandmaster,greatpaul2008,2769,2769,0
international grandmaster,antontrygubO_o,2764,3116,0
international grandmaster,lexiyvv,2763,2763,0
international grandmaster,_l_l_,2757,2757,0
international grandmaster,RDDCCD,2754,2804,0
international grandmaster,asdsasd,2754,2886,0
international grandmaster,physics0523,2748,2795,0
international grandmaster,BalintR,2747,2914,0
international grandmaster,hyman00,2744,2824,0
international grandmaster,liympanda,2740,2790,0
international grandmaster,thenymphsofdelphi,2731,2848,0
international grandmaster,Brovko,2730,2894,0
international grandmaster,Mangooste,2729,2853,0
international grandmaster,LeoPro,2726,2886,0
international grandmaster,Fido_Puppy,2723,2820,0
international grandmaster,umbrella-leaf,2722,2728,0
international grandmaster,BigBag,2720,2864,0
international grandmaster,SanguineChameleon,2716,2716,0
international grandmaster,zjy2008,2715,2799,0
international grandmaster,LipArcanjo,2712,2712,0
international grandmaster,hhoppitree,2703,2703,0
international grandmaster,OIer_kzc,2701,2720,0
international grandmaster,sansen,2692,2827,0
international grandmaster,LuCpp,2691,2692,0
international grandmaster,taeyeon_ss,2691,2691,0
international grandmaster,wsyear,2691,2691,0
international grandmaster,Fysty,2690,2690,0
international grandmaster,hhhgjyismine,2689,2689,0
international grandmaster,ppltn,2689,2757,0
international grandmaster,JettyOller,2687,2938,0
international grandmaster,alvingogo,2682,2747,0
international grandmaster,wifiii,2678,2678,0
international grandmaster,riantkb,2676,2676,0
international grandmaster,arbuzick,2675,2763,0
international grandmaster,Keshi,2674,2674,0
international grandmaster,riano_,2673,2673,0
international grandmaster,AndreySergunin,2672,2997,0
international grandmaster,AmirAli-Asgari,2671,2681,0
international grandmaster,jason_sun,2670,2670,0
international grandmaster,LMydd0225,2668,2670,0
international grandmaster,risujiroh,2668,2857,0
international grandmaster,S2speed,2666,2866,0
international grandmaster,TKT_YI,2666,2696,0
international grandmaster,Morollcinna,2665,2815,0
international grandmaster,Thienu,2661,2733,0
international grandmaster,abc864197532,2655,2807,0
international grandmaster,fastmath,2654,2729,0
international grandmaster,kizen,2654,2671,0
international grandmaster,EasonTAO,2648,2661,0
international grandmaster,mtsd,2648,2879,0
international grandmaster,qwerasdfzxcl,2647,2781,0
international grandmaster,Otomachi_Una,2645,2729,0
international grandmaster,budalnik,2636,3014,0
international grandmaster,zidder,2635,2672,0
international grandmaster,torisasami,2634,2684,0
international grandmaster,syx2567,2633,2651,0
international grandmaster,Rafi22,2632,2700,0
international grandmaster,Andreasyan,2629,2686,0
international grandmaster,fallleaves01,2626,2793,0
international grandmaster,zhaohaikun,2622,2675,0
international grandmaster,siganai,2620,2692,0
international grandmaster,jdurie,2618,2705,0
international grandmaster,natsugiri,2618,2960,0
international grandmaster,wifiiii,2617,2719,0
international grandmaster,Kude,2615,2746,0
international grandmaster,Focalors,2614,2614,0
international grandmaster,yyyyxh,2614,2646,0
international grandmaster,sammyuri,2613,2613,0
international grandmaster,TheScrasse,2606,2702,0
international grandmaster,qwerty787788,2604,3038,0
international grandmaster,Tlatoani,2603,2892,0
international grandmaster,rui_er,2600,2659,0
grandmaster,gloria_mundi,2599,2599,0
grandmaster,Egor.Lifar,2598,2929,0
grandmaster,chinerist,2596,2782,0
grandmaster,KrK,2595,2810,0
grandmaster,Farhod,2594,2976,0
grandmaster,anmichi,2592,2592,0
grandmaster,andrei_boaca,2591,2627,0
grandmaster,rama_pang,2591,2866,0
grandmaster,74TrAkToR,2590,2590,0
grandmaster,toam,2589,2589,0
grandmaster,cxm1024,2584,2898,0
grandmaster,Hyperbolic,2583,2583,0
grandmaster,415411,2579,2579,0
grandmaster,k1r1t0,2579,2579,0
grandmaster,0wuming0,2576,2648,0
grandmaster,rqoi031,2573,2573,0
grandmaster,Zhouershan,2571,2646,0
grandmaster,Matutino,2570,2570,0
grandmaster,jinqihao2026,2567,2647,0
grandmaster,yuanruiqi,2567,2567,0
grandmaster,Sorting,2566,2640,0
grandmaster,lvkaiyi0811,2566,2566,0
grandmaster,Hisiri,2565,2630,0
grandmaster,sharaelong,2563,2563,0
grandmaster,KroosTheKeenGlint,2559,2764,0
grandmaster,ParsaDox,2559,2566,0
grandmaster,liumohan,2557,2604,0
grandmaster,propane,2556,2560,0
grandmaster,YLWang,2554,2572,0
grandmaster,cn449,2553,2621,0
grandmaster,b6e0,2548,2661,0
grandmaster,leaf1415,2547,2727,0
grandmaster,wutongchun,2547,2583,0
grandmaster,sevlll777,2543,2612,0
grandmaster,Kite_kuma,2541,2699,0
grandmaster,complexor,2541,2541,0
grandmaster,shobonvip,2539,2539,0
grandmaster,ywwyww,2538,2554,0
grandmaster,Akulyat,2535,2702,0
grandmaster,Daniel777,2535,2535,0
grandmaster,as_dfsdf,2535,2637,0
grandmaster,fuppy,2535,2675,0
grandmaster,kmjp,2534,2901,0
grandmaster,superguymj,2530,2699,0
grandmaster,iakovlev.zakhar,2524,2662,0
grandmaster,kostylevGO,2524,2524,0
grandmaster,Enchom,2522,2630,0
grandmaster,Yuuuuuuuuuuuuuuuuu,2516,2553,0
grandmaster,Kilani,2514,2676,0
grandmaster,Rewenix,2513,2533,0
grandmaster,nicksms,2513,2517,0
grandmaster,__jk__,2512,2512,0
grandmaster,MridulAhi,2511,2562,0
grandmaster,EJIC_B_KEDAX,2510,2564,0
grandmaster,Numbering,2507,2534,0
grandmaster,Savior-of-Cross,2507,2768,0
grandmaster,AliShahali1382,2506,2916,0
grandmaster,noya2,2506,2616,0
grandmaster,ORzyzRO,2505,2505,0
grandmaster,qwef_,2501,2501,0
grandmaster,Anonyme,2498,2498,0
grandmaster,__builtin_gjr,2497,2623,0
grandmaster,Ecrade_,2496,2582,0
grandmaster,YuJiahe,2496,2496,0
grandmaster,Ra16bit,2495,2742,0
grandmaster,win114514,2494,2494,0
grandmaster,se1ka2,2493,2675,0
grandmaster,kevinyang,2492,2541,0
grandmaster,CodeFurces,2491,2561,0
grandmaster,w4p3r,2490,2606,0
grandmaster,briX1210,2488,2562,0
grandmaster,MahiruShiina,2487,2552,0
grandmaster,YCKC_LCJ,2487,2487,0
grandmaster,ilyakor,2487,2831,0
grandmaster,leinad2,2487,2589,0
grandmaster,zwh2008,2485,2601,0
grandmaster,Peter-007,2484,2575,0
grandmaster,limanjun,2484,2484,0
grandmaster,251Sec,2481,2481,0
grandmaster,Sofapuden,2480,2560,0
grandmaster,amirhoseinfar1385,2480,2480,0
grandmaster,nuip,2480,2880,0
grandmaster,HHY_zZhu,2478,2485,0
grandmaster,emthrm,2478,2771,0
grandmaster,CJ-_zhuyifan,2477,2477,0
grandmaster,feeder1,2475,2696,0
grandmaster,mickeyjung,2475,2600,0
grandmaster,zeliboba,2475,2837,0
grandmaster,ofrankel,2474,2595,0
grandmaster,makrav,2472,2472,0
grandmaster,sheercold,2470,2470,0
grandmaster,AmShZ,2469,2603,0
grandmaster,penguinman,2469,2635,0
grandmaster,Marckess,2466,2681,0
grandmaster,zemen,2464,2971,0
grandmaster,IzhtskiyTimofey,2463,2463,0
grandmaster,cerberus97,2462,2754,0
grandmaster,fyable,2459,2539,0
grandmaster,defnotmee,2457,2586,0
grandmaster,RP-1,2455,2513,0
grandmaster,wukaichen888,2452,2452,0
grandmaster,automaton,2450,2450,0
grandmaster,chaeyihwan,2448,2634,0
grandmaster,Appleblue17,2446,2446,0
grandmaster,OdtreePrince,2445,2445,0
grandmaster,sstrong,2445,2622,0
grandmaster,Muelsyse,2443,2501,0
grandmaster,Waimaihehe,2443,2443,0
grandmaster,Edu175,2440,2469,0
grandmaster,Be_dos,2439,2560,0
grandmaster,cfhj,2439,2475,0
grandmaster,tolbi,2439,2439,0
grandmaster,xuyifei1,2438,2438,0
grandmaster,Linx,2437,2467,0
grandmaster,MeGustaElArroz23,2437,2437,0
grandmaster,NKheyuxiang,2437,2437,0
grandmaster,Daniel081024,2434,2464,0
grandmaster,Zanite,2434,2461,0
grandmaster,wery0,2434,2434,0
grandmaster,Waldi,2433,2492,0
grandmaster,_acsm_,2433,2433,0
grandmaster,AHappyPotato,2432,2517,0
grandmaster,valeriu,2431,2579,0
grandmaster,InkyFlameMaster,2427,2451,0
grandmaster,cpchenpi,2427,2427,0
grandmaster,IBory,2426,2426,0
grandmaster,k1sara,2426,2428,0
grandmaster,wnmrmr,2426,2426,0
grandmaster,DylanSmith,2425,2521,0
grandmaster,Midnights,2425,2425,0
grandmaster,flashmt,2421,2598,0
grandmaster,satashun,2421,2782,0
grandmaster,dannyboy20031204,2420,2420,0
grandmaster,oceeff,2420,2420,0
grandmaster,adam01,2416,2416,0
grandmaster,36champ,2415,2442,0
grandmaster,radoslav11,2415,2590,0
grandmaster,Virv,2414,2428,0
grandmaster,79brue,2413,2554,0
grandmaster,gmusya,2413,2413,0
grandmaster,aryanc403,2412,2452,0
grandmaster,keisuke6,2412,2412,0
grandmaster,mewmewmew,2412,2416,0
grandmaster,VladaMG98,2411,2460,0
grandmaster,khuepr123,2410,2680,0
grandmaster,gongkoufadongji,2409,2409,0
grandmaster,SongC,2408,2591,0
grandmaster,Anonymous_Noob,2406,2563,0
grandmaster,maks_matiupatenko,2403,2497,0
grandmaster,Irmuun.Ch,2402,2402,0
grandmaster,Sai_t,2401,2401,0
international master,Xellos,2399,2865,0
international master,irkstepanov,2398,2691,0
international master,maomao90,2398,2597,0
international master,Temmie,2397,2419,0
international master,rgnerdplayer,2396,2396,0
international master,mees,2394,2394,0
international master,KumaTachiRen,2393,2486,0
international master,shinchankosen,2393,2393,0
international master,HomuraAkemi,2392,2392,0
international master,Kaey,2392,2487,0
international master,activedeltorre,2392,2392,0
international master,janY_,2392,2392,0
international master,libobil,2391,2581,0
international master,Giga_Cronos,2390,2390,0
international master,zwezdinv,2388,2508,0
international master,DisconnectedGraph,2387,2397,0
international master,-is-this-fft-,2386,2645,0
international master,AkiyamaMizuki,2385,2385,0
international master,HNO2,2383,2383,0
international master,dspt,2383,2383,0
international master,pooty,2382,2592,0
international master,okwedook,2381,2517,0
international master,Andrei_ierdnA,2380,2380,0
international master,DeadlyCritic,2380,2380,0
international master,anpaio,2379,2379,0
international master,Soumya1,2378,2548,0
international master,little_vegetable,2378,2431,0
international master,lotusblume,2378,2378,0
international master,zlxFTH,2378,2378,0
international master,gvihvo,2377,2377,0
international master,liqingyang,2377,2377,0
international master,kevin,2376,2376,0
international master,Kaling,2374,2396,0
international master,Error-42,2373,2377,0
international master,GSH_gsh,2369,2369,0
international master,Ivan_len,2369,2369,0
international master,Apple_Method,2368,2441,0
international master,WRKRW,2368,2368,0
international master,MAKMED1337,2367,2544,0
international master,min_inf,2367,2367,0
international master,paulzrm,2367,2367,0
international master,adamant,2366,2472,0
international master,bkdn24.lnba,2365,2365,0
international master,thembululquaUwU,2362,2362,0
international master,ttamx,2362,2459,0
international master,zacharychao,2362,2362,0
international master,DarkestNightmare,2361,2361,0
international master,culver0412,2361,2456,0
international master,happypotato,2361,2387,0
international master,awu,2359,2359,0
international master,ahmadkhafif,2357,2357,0
international master,al3xstr33t,2357,2625,0
international master,Hevix,2356,2356,0
international master,Andy_Lin,2355,2397,0
international master,Galetx,2355,2355,0
international master,e3e,2355,2398,0
international master,akua,2353,2395,0
international master,afuafu,2352,2466,0
international master,akshaykhandelwal,2351,2351,0
international master,nigus,2351,2743,0
international master,Ari,2349,2595,0
international master,nocap,2349,2364,0
international master,FantasyNumber,2348,2348,0
international master,nishkarsh,2348,2454,0
international master,q1w2e3r4_1,2348,2348,0
international master,rembocoder,2348,2587,0
international master,piaoyun,2347,2347,0
international master,-0v0-,2346,2346,0
international master,Flandre,2346,2473,0
international master,Misuki,2345,2370,0
international master,flytime,2343,2343,0
international master,phoenix0423,2343,2343,0
international master,2018LZY,2341,2444,0
international master,Graygoo_401,2340,2340,0
international master,busamate,2340,2474,0
international master,HpSuda,2339,2418,0
international master,Noobish_Monk,2339,2344,0
international master,ToniB,2339,2367,0
international master,JeanBombeur,2338,2594,0
international master,lcyxds,2338,2338,0
international master,Boboge,2337,2358,0
international master,anthonyaaab123,2337,2337,0
international master,dyppp,2337,2475,0
international master,scanhex,2336,2802,0
international master,deoxys1087,2334,2336,0
international master,Trial_light,2330,2330,0
international master,amsraman,2330,2338,0
international master,Dart-Xeyter,2329,2453,0
international master,Vectors_Master,2327,2341,0
international master,HugeWide,2326,2368,0
international master,dabbler1,2326,2350,0
international master,satellite.,2326,2326,0
international master,rlc202204,2325,2325,0
international master,Suwan,2324,2365,0
international master,nguyentunglam,2324,2324,0
international master,shenfe1,2324,2324,0
international master,MateoCV,2322,2574,0
international master,chenhongrui,2322,2322,0
international master,danya111,2322,2343,0
international master,zfs732,2321,2348,0
international master,JueFan,2320,2323,0
international master,Hell2Evator,2319,2424,0
international master,systemStart,2318,2318,0
international master,gortomi,2317,2317,0
international master,lamduybao03,2316,2436,0
international master,zhenja,2316,2316,0
international master,Bungmint,2315,2380,0
international master,FSTAutoMaton,2315,2315,0
international master,Ilya_MSU,2315,2605,0
international master,Peti,2315,2519,0
international master,874641984,2314,2314,0
international master,8Conan8,2314,2314,0
international master,Nika_Tamliani,2312,2428,0
international master,ikrpprppp,2312,2383,0
international master,876pol,2311,2311,0
international master,Barichek,2310,2768,0
international master,Papaver,2310,2316,0
international master,Dalek_of_Rivia,2309,2379,0
international master,zdc123456,2309,2499,0
international master,08kevin,2308,2348,0
international master,mjhmjh1104,2308,2465,0
international master,PBBx0,2307,2307,0
international master,Hamed_Ghaffari,2306,2438,0
international master,LOL_I_AM_SERZH,2305,2335,0
international master,manacher,2304,2304,0
international master,zas111lll,2304,2341,0
international master,Wansur,2303,2303,0
international master,anton_h,2303,2308,0
international master,Unlimited_zero,2302,2412,0
international master,DoNotMoZheng,2301,2408,0
international master,katyaporay,2301,2443,0
international master,machine_solution,2300,2398,0
international master,xixizhiguan,2300,2300,0
master,bthero,2299,2625,0
master,sedev57,2299,2345,0
master,HuaJun,2298,2531,0
master,KingOfDiamonds,2298,2309,0
master,udhavvarma03,2297,2297,0
master,tem_shett,2296,2346,0
master,miss_robot,2295,2295,0
master,waipoli,2295,2335,0
master,Gheal,2294,2324,0
master,albatross_errantia,2294,2326,0
master,BlueBottle,2292,2292,0
master,divergence1,2292,2292,0
master,surajchip2,2292,2342,0
master,sv1shan,2292,2292,0
master,RingedGenesis,2291,2381,0
master,registeretsiger,2291,2771,0
master,guagua0407,2289,2289,0
master,dkhve,2288,2363,0
master,Raiden_Mei_,2287,2308,0
master,Traumatize,2287,2287,0
master,fishy15,2287,2287,0
master,gravitsapa,2287,2287,0
master,purupurupururin,2286,2286,0
master,zmy_,2286,2342,0
master,gabriel88766,2285,2285,0
master,qdd,2285,2285,0
master,1021839,2284,2348,0
master,Error_Yuan,2284,2291,0
master,prins,2284,2316,0
master,Nullptrs,2283,2283,0
master,Serendipity__,2283,2283,0
master,EthanKim8683,2282,2282,0
master,LUlululu1616,2282,2282,0
master,Meatherm,2282,2359,0
master,shiven,2282,2370,0
master,Mtaylor,2281,2326,0
master,BlueDiamond,2280,2470,0
master,BreakPlus,2280,2422,0
master,Tuanlinh123,2280,2308,0
master,Nelson_loh,2278,2350,0
master,askd,2278,2362,0
master,steven144,2278,2278,0
master,whaskntax,2278,2278,0
master,jtmaster1000,2277,2277,0
master,perekopskiy,2277,2416,0
master,biximo,2276,2279,0
master,magnified,2276,2501,0
master,JoanhLan,2273,2273,0
master,MarSer020,2273,2273,0
master,TimDee,2273,2297,0
master,Saquariu,2271,2339,0
master,Silver_Fox,2271,2271,0
master,GOTKAKO,2270,2326,0
master,lyx123886a123886,2269,2340,0
master,_chroneZ,2268,2397,0
master,aqxa,2267,2302,0
master,Missyou,2266,2350,0
master,VaVshchuck,2266,2318,0
master,Xun_Xiaoyao,2266,2266,0
master,c.young_sb,2266,2384,0
master,JeffreyLC,2265,2465,0
master,Karuk,2265,2278,0
master,Pablo-No,2265,2265,0
master,QwQwf,2265,2265,0
master,Z_actuary,2265,2265,0
master,ycx2010,2264,2264,0
master,Edlue,2263,2332,0
master,PvPro,2263,2312,0
master,ivan.alexeev,2263,2371,0
master,tyr0Whiz,2263,2401,0
master,xvzhiming,2263,2263,0
master,160cm,2262,2262,0
master,rikka_lyly,2262,2262,0
master,vaaven,2262,2361,0
master,DerrickLo,2261,2261,0
master,tko919,2261,2317,0
master,shiqingbaiya666,2260,2260,0
master,The_Original_Popeye,2259,2302,0
master,leihonglongyin,2259,2357,0
master,Lawali,2258,2526,0
master,awesomeguy856,2258,2274,0
master,enzopsm,2258,2258,0
master,lsxhyyds,2258,2263,0
master,woxihuanni,2258,2258,0
master,Etavitsea,2257,2257,0
master,Mindeveloped,2257,2257,0
master,ivatopuria,2257,2366,0
master,PedroBigMan,2256,2427,0
master,dieselhuang,2256,2256,0
master,stonejjun,2256,2373,0
master,chenyanbo,2255,2544,0
master,fft_ntt,2255,2265,0
master,mwen,2255,2339,0
master,Romy67,2254,2254,0
master,0x0002,2253,2267,0
master,brianhsu7476,2253,2337,0
master,hhhyh,2253,2309,0
master,Kolychestiy,2252,2275,0
master,Baiyu0123,2251,2372,0
master,Darko1,2251,2259,0
master,Gaoyc,2251,2251,0
master,Mohammad.H915,2251,2382,0
master,SmolBrain,2251,2429,0
master,w33hw3,2251,2251,0
master,choujiangxiang,2250,2250,0
master,529,2248,2248,0
master,beiyuli,2248,2402,0
master,djs100201,2248,2248,0
master,pomuchle,2248,2248,0
master,timreizin,2248,2288,0
master,trybetter,2248,2248,0
master,hariaakash646,2247,2247,0
master,lnsuyn,2247,2329,0
master,heidiheize,2246,2246,0
master,phsads,2246,2246,0
master,rolandpetrean,2246,2246,0
master,Empty_Dust,2245,2272,0
master,shorya1835,2245,2245,0
master,DanTheMan.,2244,2358,0
master,MtSaka,2244,2291,0
master,howardyang,2244,2345,0
master,ub33,2244,2373,0
master,golions,2243,2369,0
master,DanielChang,2242,2320,0
master,FelixMP,2242,2370,0
master,Gabp,2242,2242,0
master,Halyavka,2242,2242,0
master,cockatooo,2242,2242,0
master,dongyinjie001,2242,2288,0
master,DDUDUDDUDU,2239,2300,0
master,_Joanna_,2239,2239,0
master,bingpao,2239,2239,0
master,LoboLobo,2238,2292,0
master,Omiya_Shinobu,2238,2238,0
master,Nummer_64,2237,2237,0
master,zi.zh,2237,2237,0
master,Farmer_D,2236,2280,0
master,Ferume,2236,2281,0
master,Popyk_Andrey,2236,2236,0
master,aimoon,2234,2321,0
master,chenyitaoooo,2234,2234,0
master,tonegawa,2234,2335,0
master,OccDreamer,2233,2233,0
master,nifeshe,2233,2322,0
master,ssk4988,2233,2315,0
master,Vash_nick,2232,2249,0
master,golomb,2232,2232,0
master,gzw2005,2232,2269,0
master,DinoHadzic,2231,2300,0
master,junie,2231,2414,0
master,rickbaishuak,2231,2264,0
master,Link_Cut_qwq,2230,2230,0
master,lfxxx,2230,2239,0
master,Geroin,2229,2229,0
master,KDVineet,2229,2419,0
master,Muelsyse_sep005,2229,2229,0
master,KseniaShk,2228,2228,0
master,crazyilian,2228,2327,0
master,JYJin,2227,2430,0
master,Piokemon,2227,2270,0
master,chuchu,2227,2276,0
master,hzt1,2227,2453,0
master,Wobert,2226,2257,0
master,Do_not_make_friends,2225,2270,0
master,RED_INSIDE,2225,2359,0
master,n685,2225,2225,0
master,raztun,2225,2225,0
master,thanos_2,2225,2245,0
master,Cubyte,2224,2224,0
master,ian_HLX,2224,2306,0
master,PieArmy,2223,2223,0
master,anango,2223,2250,0
master,chenjunxiu,2223,2225,0
master,evenvalue,2223,2264,0
master,0land,2222,2245,0
master,ItamarNir,2222,2339,0
master,juan_123,2222,2341,0
master,kingmessi,2222,2222,0
master,louhao088,2221,2221,0
master,ooscode,2221,2289,0
master,Kniaz,2220,2320,0
master,lprdsb,2220,2290,0
master,parsa-golestani,2220,2402,0
master,rt3,2220,2364,0
master,Junz_LJL,2219,2220,0
master,Wielomian,2219,2382,0
master,__baozii__,2219,2219,0
master,Alpha_Q,2218,2462,0
master,Kustov_Vadim_533,2218,2218,0
master,beacon_cwk,2218,2322,0
master,.I.,2216,2584,0
master,DmitryLzr,2216,2270,0
master,MarcosK,2216,2288,0
master,brenner1,2216,2216,0
master,polosatic,2215,2351,0
master,4dalols,2214,2214,0
master,kai824,2214,2264,0
master,waste_f,2214,2214,0
master,yishangtanhuan,2214,2214,0
master,Intellegent,2213,2258,0
master,The_Hallak,2213,2235,0
master,naydlo,2213,2213,0
master,ngocnghia,2213,2213,0
master,t9unkubj,2213,2258,0
master,zzpc,2213,2310,0
master,bro_jie,2212,2212,0
master,miscalculation53,2212,2273,0
master,wangzhe_290477,2212,2263,0
master,15000,2211,2211,0
master,PoPularPlusPlus,2211,2233,0
master,arash.,2211,2238,0
master,fredrik.w.ekholm,2211,2354,0
master,mjtai,2211,2336,0
master,worldwideD,2211,2211,0
master,toniskrijelj,2210,2315,0
master,turkhuu622,2210,2338,0
master,-1e11,2209,2404,0
master,CHYYYY,2209,2253,0
master,Fish_and_Chips,2209,2209,0
master,IMackerI,2209,2209,0
master,kookeudas,2209,2209,0
master,oyladn,2209,2209,0
master,xcc_szy0905,2208,2299,0
master,senjougaharin,2207,2324,0
master,Teja-Smart,2206,2358,0
master,_ANIG,2206,2233,0
master,sha7dow,2206,2222,0
master,ExplodingFreeze,2205,2301,0
master,Markadiusz,2205,2509,0
master,anaswarkb013,2204,2217,0
master,Warma_Cute,2203,2231,0
master,borgar02,2203,2268,0
master,ApraCadabra,2202,2229,0
master,_ChiFAN_,2202,2202,0
master,beepbeepsheep,2202,2215,0
master,boleyn.su,2202,2362,0
master,forelax,2202,2243,0
master,penguin34,2202,2228,0
master,2021_yes,2201,2201,0
master,Andwerp,2201,2257,0
master,Beaboss,2201,2244,0
master,Tobo,2201,2341,0
master,scutsky,2201,2201,0
master,AFOier,2200,2254,0
master,lrvideckis,2200,2325,0
master,socho,2200,2389,0
master,cSERAFIMc,2199,2219,0
master,hirayuu_cf,2199,2199,0
master,sichengzhou,2199,2199,0
master,twosome,2199,2199,0
master,Alfeh2,2198,2198,0
master,Littleiwprc,2198,2198,0
master,OutsiderZz,2198,2198,0
master,daaaaaaaaaaaaaaaaaaa,2198,2198,0
master,gs20036,2198,2198,0
master,jmyszka,2198,2259,0
master,kafamcokkaristi,2198,2198,0
master,zeemanz,2198,2198,0
master,Gergyg,2197,2269,0
master,Jeuti,2197,2259,0
master,ZhouYuHang,2197,2197,0
master,Nika533,2196,2213,0
master,Danncla,2195,2215,0
master,LittleOrange666,2195,2195,0
master,Shirotsume,2195,2195,0
master,amoeba3,2195,2291,0
master,kalimm,2195,2607,0
master,ArvinCiu,2194,2194,0
master,cz_yxx,2194,2247,0
master,Silver187,2193,2259,0
master,The-Winner,2193,2290,0
master,Vitaly503,2193,2193,0
master,Wizard_of_Orz,2193,2193,0
master,__Watcher,2193,2250,0
master,tatata96,2193,2330,0
master,Hong_Meiling,2192,2192,0
master,bibra_eSports1,2192,2192,0
master,nagpaljatin1411,2192,2365,0
master,Art.ogo,2191,2199,0
master,ArtAlex,2191,2349,0
master,Darren0726,2191,2242,0
master,Imdie,2191,2483,0
master,Pacybwoah,2191,2191,0
master,rubbishZ,2191,2225,0
master,thomaswmy,2191,2191,0
master,GrandTiger1729,2190,2278,0
master,Honey_Badger,2190,2382,0
master,LMeyling,2190,2190,0
master,PeruvianCartel,2190,2239,0
master,happy_node,2190,2190,0
master,include_BM,2190,2198,0
master,CaMOUFlage,2189,2189,0
master,Fidisk,2189,2282,0
master,L_Star_Plus,2189,2189,0
master,ciuim,2189,2245,0
master,tch1cherin,2189,2216,0
master,DRA,2188,2364,0
master,Eugene312,2188,2188,0
master,Gold14526,2188,2205,0
master,LYH.cpp,2188,2225,0
master,cwxzh,2188,2188,0
master,yefllower,2188,2397,0
master,Ignut,2187,2232,0
master,TheSahib,2187,2187,0
master,ender_shayan,2187,2187,0
master,fahimcp495,2187,2205,0
master,reil_st,2187,2187,0
master,MvKaio,2186,2232,0
master,Tang__Tang,2186,2186,0
master,Teddiursa,2186,2276,0
master,arzhantsev64,2186,2515,0
master,lhy123,2186,2186,0
master,Handsome2004,2185,2262,0
master,I.Gleb,2185,2327,0
master,lycc,2185,2254,0
master,wind_cross,2185,2291,0
master,ITO,2184,2370,0
master,Lingying,2184,2184,0
master,Egg_laying_master,2183,2183,0
