Rank,Handle,Score,Problems Solved
332,chunbaekim,4379.0,9
332,MAKMED1337,4379.0,9
335,egneeS,4378.0,9
336,Syrus,4369.0,9
337,Dalek_of_Rivia,4366.0,9
337,ilyakor,4366.0,9
337,Setsuna,4366.0,9
340,RP-1,4359.0,9
341,Etavitsea,4357.0,9
342,tredsused70,4354.0,9
343,cwxzh,4351.0,9
344,Vectors_Master,4349.0,9
345,Cubyte,4348.0,9
346,yishangtanhuan,4347.0,9
347,wsc2008qwq,4345.0,9
347,Shnaht,4345.0,9
349,Griboviki,4344.0,9
350,maximumSHOT,4338.0,9
351,shinchankosen,4328.0,9
352,radoslav11,4325.0,9
353,UKBwyx,4324.0,9
354,kh0i,4320.0,9
354,lotusblume,4320.0,9
354,Gabp,4320.0,9
357,devans,4318.0,9
358,Marckess,4310.0,9
359,Trial_light,4308.0,9
359,shirokane_rinko,4308.0,9
359,thanos_2,4308.0,9
362,Anonymous_Noob,4305.0,9
363,zrnstnsr,4302.0,9
364,nuyoah007,4300.0,9
365,Code937,4298.0,9
366,wind_cross,4297.0,9
367,Halyavka,4288.0,9
367,jaehyunp312,4288.0,9
369,best_codeforces_user,4286.0,9
370,Mindeveloped,4283.0,9
370,zxcen,4283.0,9
372,Junz_LJL,4282.0,9
373,louhao088,4280.0,9
374,CodeFurces,4279.0,9
375,carlycarlycarlycarly,4278.0,9
376,JeffreyLC,4273.0,9
376,huangjiarui,4273.0,9
378,Virv,4269.0,9
379,limithym,4268.0,9
380,Randoming,4267.0,9
381,sigmoid114,4266.0,9
382,Kniaz,4257.0,9
383,nguyentunglam,4255.0,9
383,Kaling,4255.0,9
383,ycx2010,4255.0,9
386,zhongpeilin,4254.0,9
387,ofrankel,4253.0,9
388,hariaakash646,4243.0,9
389,ExplodingFreeze,4237.0,9
390,Xellos,4236.0,9
391,polosatic,4231.0,9
391,now_cow,4231.0,9
393,Yaimsea,4228.0,9
393,great_fortune,4228.0,9
395,AhmetKaan,4224.0,9
396,junoschor,4221.0,9
397,ha___il,4212.0,9
398,kingmessi,4211.0,9
399,forest1145141919810,4210.0,9
400,pty6666,4201.0,9
401,Dragnoid99,4191.0,9
402,Edu175,4186.0,9
403,sv1shan,4185.0,9
404,chuchu,4180.0,9
405,yeminghan,4179.0,9
406,golomb,4175.0,9
406,Romy67,4175.0,9
408,Intellegent,4166.0,9
409,Lawali,4164.0,9
410,1L1YA,4161.0,9
411,juruoA,4159.0,9
412,_LSA_,4157.0,9
413,MarSer020,4150.0,9
414,imtx,4148.0,9
415,Robsob,4145.0,9
416,tute7627,4142.0,9
417,kevinyang,4141.0,9
417,wcwnby,4141.0,9
419,ToniB,4136.0,9
420,thomaswmy,4134.0,9
421,beacon_cwk,4132.0,9
422,Serendipity__,4131.0,9
423,muxingchengfeng,4128.0,9
424,ttamx,4124.0,9
424,ooscode,4124.0,9
426,ChenyaoZhong,4122.0,9
426,Andeviking,4122.0,9
428,shorya1835,4121.0,9
428,adamant,4121.0,9
430,jtmaster1000,4119.0,9
431,LOL_I_AM_SERZH,4107.0,9
432,Shirotsume,4105.0,9
433,Aria_Math,4102.0,9
433,AlephNullams2008,4102.0,9
433,Misty7,4102.0,9
436,mwen,4101.0,9
437,rt3,4100.0,9
438,999,4099.0,9
439,Ignut,4095.0,9
440,Noobish_Monk,4090.0,9
441,Teddiursa,4087.0,9
441,KseniaShk,4087.0,9
443,Kaiser_Kell,4084.0,9
444,5AnCar2727,4080.0,9
445,Darko1,4072.0,9
446,The_Original_Popeye,4070.0,9
447,socho,4065.0,9
448,AryRDW,4063.0,9
449,nifeshe,4058.0,9
450,askd,4050.0,9
451,Boboge,4044.0,9
451,AFrAYuRmbrM,4044.0,9
451,Handsome2004,4044.0,9
454,NusGhy,4038.0,9
454,khakitoad,4038.0,9
454,DmitryLzr,4038.0,9
457,nan02,4037.0,9
458,codelegend,4033.0,9
459,Sin_Watt,4032.0,9
460,kafamcokkaristi,4029.0,9
461,sha7dow,4028.0,9
462,tenagazaru,4026.0,9
463,amsraman,4024.0,9
464,Pacybwoah,4021.0,9
464,vaaven,4021.0,9
466,Cai1000,4020.0,9
467,ender_shayan,4017.0,9
468,c.young_sb,4014.0,9
468,phsads,4014.0,9
470,Lilypad,4012.0,9
471,SeaYellow,4006.0,9
472,BlueJade,3994.0,9
473,gandiva0,3992.0,9
474,maxK99,3990.0,9
474,albatross_errantia,3990.0,9
476,Masteres,3989.0,9
477,pengpeng_fudan,3976.0,9
478,Althri,3975.0,9
479,EthanKim8683,3973.0,9
480,Papaver,3972.0,9
480,SoReMore,3972.0,9
482,Ertugrul28,3967.0,9
483,Silver_Fox,3966.0,9
484,rembocoder,3965.0,9
485,zas111lll,3959.0,9
486,Jeuti,3957.0,9
487,Tima19,3955.0,9
488,anton_h,3954.0,9
489,tem_shett,3953.0,9
490,BRABABABABASHKIR,3948.0,9
491,arash.,3947.0,9
492,lwm7708,3946.0,9
493,Divine_Spark,3945.0,9
493,n685,3945.0,9
495,MIS_T__,3944.0,9
496,Karuk,3937.0,9
496,Lylova,3937.0,9
498,Thomas01,3936.0,9
499,mariowong,3933.0,9
500,GOTKAKO,3928.0,9
501,markthitrin,3925.0,9
502,Alfeh2,3924.0,9
502,Thomas22,3924.0,9
504,cockatooo,3920.0,9
505,junosv,3919.0,9
505,scutsky,3919.0,9
507,Kaey,3918.0,9
508,HuaJun,3917.0,9
509,zi.zh,3914.0,9
510,myoi0905,3913.0,9
511,tumu1t,3906.0,9
512,Hectonit,3902.0,9
513,BlueDiamond,3900.0,9
514,CaMOUFlage,3897.0,9
515,suprend,3896.0,9
516,AFOier,3895.0,9
517,Thomas50,3894.0,9
518,happy_node,3892.0,9
518,pomuchle,3892.0,9
520,ssk4988,3883.0,9
521,fw5dasddsa,3881.0,9
522,lazymystic,3875.0,9
523,Edlue,3870.0,9
524,KingOfDiamonds,3869.0,9
525,qiqinanzijing,3868.0,9
526,Ali_07,3867.0,9
526,Ngeces,3867.0,9
526,hioahda,3867.0,9
529,Swishy123,3866.0,9
529,storbnn,3866.0,9
531,rolandpetrean,3865.0,9
532,Alpha_Q,3861.0,9
532,yatharthsinghal1,3861.0,9
532,yookwi,3861.0,9
535,danya111,3857.0,9
536,briX1210,3856.0,9
536,culver0412,3856.0,9
538,ioghqwed,3855.0,9
539,Mtaylor,3851.0,9
540,xiaoxiaobaozi,3850.0,9
541,ebofan,3844.0,9
542,kdoaf023m,3840.0,9
542,rickbaishuak,3840.0,9
544,tatata96,3836.0,9
545,Waldi,3834.0,9
546,Cu_OH_2,3832.0,9
546,lucky__389,3832.0,9
548,wa_233,3831.0,9
549,nyctivoe,3829.0,9
549,Milmon,3829.0,9
551,lsj2009,3827.0,9
552,Muhammad-Saram,3826.0,9
553,Cras0432,3824.0,9
553,yaya,3824.0,9
553,ilyastarost,3824.0,9
556,Nguyn0601,3816.0,9
557,jriwdas5d64,3810.0,9
558,perekopskiy,3806.0,9
559,Sochu,3802.0,9
560,KingPowers,3798.0,9
561,0x0002,3797.0,9
562,Almus,3796.0,9
563,ArtAlex,3791.0,9
564,BLOBVISGOD,3786.0,9
565,cixagafyeadfas,3785.0,9
565,noya2,3785.0,9
565,Nummer_64,3785.0,9
568,yukihasui439,3783.0,9
568,ndquang,3783.0,9
570,ShadowShark,3780.0,9
571,Raiden,3777.0,9
572,pooty,3774.0,9
573,pajasndisna,3773.0,9
574,AA_Surely,3766.0,9
575,martiro,3764.0,9
576,Dedibeat,3761.0,9
577,5phInX,3757.0,9
577,Popusk3000lvl,3757.0,9
579,_lao_ya,3752.0,9
580,WLZ,3750.0,9
581,lddlinan,3746.0,9
582,WUST_KING,3739.0,9
583,GrandTiger1729,3731.0,9
584,SmolBrain,3728.0,9
585,britishcat,3725.0,9
586,kai824,3724.0,9
587,mumuxinfei,3723.0,9
588,Danilo21,3722.0,9
589,ahmedalaa22,3718.0,9
589,akua,3718.0,9
589,BabaVoss,3718.0,9
592,Ilya_MSU,3715.0,9
593,lyx123886a123886,3714.0,9
594,kxb75,3712.0,9
595,mjtai,3711.0,9
596,2024K,3705.0,9
597,ivatopuria,3703.0,9
598,satashun,3700.0,9
598,vzljkf575,3700.0,9
600,Nagrarok,3698.0,9
601,kissgergely,3694.0,9
602,lyons,3687.0,9
603,ViratKohliGoat,3683.0,9
604,1021839,3682.0,9
605,aa2,3670.0,9
606,Kouba64,3668.0,9
607,twosome,3664.0,9
608,penguin2002,3656.0,9
609,fahimcp495,3654.0,9
610,codicon,3651.0,9
611,ilgizarka,3650.0,9
612,AbdoSa3d,3646.0,9
612,OutsiderZz,3646.0,9
614,ajinkya1p3,3644.0,9
615,Triseedot,3642.0,9
616,siewjh,3638.0,9
617,DanielChang,3637.0,9
618,Yesiyesiio,3628.0,9
619,awesomeguy856,3624.0,9
620,zemen,3621.0,9
621,0land,3620.0,9
622,Prostoegor239,3619.0,9
623,Bungmint,3610.0,9
624,wangmarui,3606.0,9
625,NinjaSenpai,3600.0,9
626,Bossusuprem,3598.0,9
627,xcc_szy0905,3582.0,9
628,RomkaRS,3575.0,9
629,Kude,3572.0,9
630,byyq,3563.0,9
631,LMeyling,3561.0,9
631,Tang___Tang,3561.0,9
633,fft_enjoyer,3559.0,9
634,Vitaly503,3556.0,9
635,PeruvianCartel,3555.0,9
636,PvPro,3554.0,9
636,arzhantsev64,3554.0,9
638,CepryH9,3552.0,9
638,hhhyh,3552.0,9
640,Apple_Method,3551.0,9
641,raulandreipop,3550.0,9
642,Do_not_make_friends,3547.0,9
643,Tuanlinh123,3543.0,9
644,l-_-l,3529.0,9
645,hxu10,3518.0,9
646,ggxxdd,3517.0,9
647,alittlemiddle,3513.0,9
648,_Crimson_,3509.0,9
649,icewarrior52,3500.0,9
650,whyalwaysmezzz,3497.0,9
651,b6e0,3495.0,9
651,Andriy_Popyk,3495.0,9
653,zezoo050,3491.0,9
654,fanythree,3487.0,9
655,Marco_L_T,3483.0,9
656,Go8,3480.0,9
657,tablemoon,3473.0,9
658,sunzz3183,3455.0,9
659,Tyanochka,3444.0,9
660,-dub-otrezkov-,3436.0,9
661,lprdsb,3431.0,9
662,thkCuAc24h,3413.0,9
663,BernatP,3411.0,9
664,xiaruize,3403.0,9
664,LoboLobo,3403.0,9
666,Liudas,3385.0,9
667,shiven,3359.0,9
668,Vash_nick,3338.0,9
669,Kolychestiy,3337.0,9
670,Kawaii,3335.0,9
671,ducksson,3321.0,9
672,v0s7er,3292.0,9
673,2018LZY,3258.0,9
674,tyr0Whiz,3247.0,9
675,quanshr,3189.0,9
676,Zachary_Gao,3184.0,9
677,eggag32,3152.0,9
678,dyktr_06,3139.0,9
679,hundunlilun1,3134.0,9
680,Alex239,3095.0,9
681,t9unkubj,3073.0,9
682,Darren0726,3037.0,9
683,waipoli,3035.0,9
684,fuppy,3034.0,9
685,deoxys1087,3029.0,9
686,temporary1,3023.0,9
687,RingedGenesis,3021.0,9
688,Atekichan,3020.0,9
689,Art.ogo,3016.0,9
690,hyperion1019.,3008.0,9
691,Hell2Evator,3007.0,9
692,guperman,3000.0,9
693,Wxssim,2998.0,9
694,AHappyPotato,2995.0,9
695,include_BM,2993.0,9
696,AliShahali1382,2990.0,9
697,Luna_Sakurakouji,2988.0,9
698,Pashteticus,2987.0,9
699,beepbeepsheep,2983.0,9
700,anaswarkb013,2981.0,9
701,envariant,2977.0,9
702,Mitsubachi,2972.0,9
703,Eason9002,2970.0,9
703,KobicGend,2970.0,9
705,chinhdeptraiso1vn,2969.0,9
706,aqxa,2967.0,9
707,The-Winner,2966.0,9
707,b___,2966.0,9
709,raoxj,2965.0,9
710,milind0110,2964.0,9
711,KiKoS,2963.0,9
711,HatodaAko,2963.0,9
711,Kustizus168,2963.0,9
714,Nelson_loh,2962.0,9
715,Jakub_Woxniak,2960.0,9
716,nishkarsh,2953.0,9
717,SongC,2952.0,9
718,aastik231205,2951.0,9
719,mychecksdead,2946.0,9
719,Saya_Alter_,2946.0,9
721,sai-17,2944.0,9
721,Meloric,2944.0,9
723,jonathanpaulson,2943.0,9
723,M1ngXu,2943.0,9
723,max0000561,2943.0,9
726,yuvrajKharayat,2942.0,9
727,21cs01033,2940.0,9
728,busamate,2939.0,9
728,_Gawd_,2939.0,9
730,junie,2938.0,9
730,mujigae,2938.0,9
732,thabumi,2937.0,9
732,CuteExp10re,2937.0,9
734,MateoCV,2936.0,9
734,OtNlmOFx,2936.0,9
736,shubham_lcb9,2933.0,9
737,sstrong,2930.0,9
738,Joacoini,2924.0,9
739,DanTheMan.,2922.0,9
740,dimkolya,2921.0,9
741,alexwice,2919.0,9
742,Xiaobaibubai,2918.0,9
743,yud08,2917.0,9
744,thehentpie,2915.0,9
744,psb0623,2915.0,9
744,Nika533,2915.0,9
747,penguin34,2911.0,9
748,Francesco4203,2910.0,9
749,gxy001,2909.0,9
749,my_happiness,2909.0,9
749,Honey_Badger,2909.0,9
752,Ojasva11,2907.0,9
752,BiggestOtaku,2907.0,9
752,StarDance_2023,2907.0,9
755,avnithv,2906.0,9
755,MegalovaniaJ,2906.0,9
757,surajchip2,2904.0,9
758,etian6795,2903.0,9
758,cSERAFIMc,2903.0,9
760,Erinyes,2902.0,9
760,otbitiy_serb,2902.0,9
760,JahonaliX,2902.0,9
763,shsh,2901.0,9
763,Shifted,2901.0,9
765,Nisanth,2899.0,9
765,MvKaio,2899.0,9
765,AliiSh,2899.0,9
768,Svemit,2898.0,9
769,katzi,2895.0,9
770,FL_sleake,2893.0,9
770,fs20091003,2893.0,9
772,Wobert,2892.0,9
773,PNJ0714,2891.0,9
774,bruhbrehbruh,2890.0,9
774,Husanboy,2890.0,9
774,RaresPoinaru,2890.0,9
777,mjhmjh1104,2888.0,9
778,Newtech66,2887.0,9
779,Sugarii,2886.0,9
780,HappyChau0v0,2884.0,9
781,toniskrijelj,2882.0,9
782,ZhiGeBaiShui,2881.0,9
783,ScottChou,2879.0,9
783,TomoriNao_0v0,2879.0,9
783,DylanSmith,2879.0,9
786,Jawad.Akbar_JJ,2878.0,9
787,eepsilon,2877.0,9
788,huanjua,2876.0,9
788,yjx120921,2876.0,9
788,Dart-Xeyter,2876.0,9
788,AbdelmagedNour,2876.0,9
792,wuhudsm,2875.0,9
793,invertedwinger,2874.0,9
793,lrvideckis,2874.0,9
795,_R00T,2873.0,9
795,turkhuu622,2873.0,9
797,sisyphus_coder,2871.0,9
797,teekaytai,2871.0,9
797,Tlatoani,2871.0,9
797,RED_INSIDE,2871.0,9
801,yottabot,2870.0,9
801,serotonin,2870.0,9
801,besukohu,2870.0,9
804,zhangtianhan,2869.0,9
804,tyoi_ak_master,2869.0,9
806,ilia-ivanov,2868.0,9
807,_p_a_r_s_a_1_3_,2867.0,9
808,flying_saucer,2866.0,9
809,GennadiySosnov,2865.0,9
810,romarkovets,2864.0,9
810,Bnahmad23,2864.0,9
812,altnant,2863.0,9
812,AllenAlien0307,2863.0,9
812,pupsicek,2863.0,9
812,YearnScientific,2863.0,9
812,MattTheNub,2863.0,9
817,CHROMIUM00,2862.0,9
817,AsukaSaito,2862.0,9
819,kyooz,2861.0,9
820,sunhokim,2858.0,9
820,krigare,2858.0,9
822,crazyilian,2857.0,9
823,BrynzaWillWinIOI2025,2855.0,9
823,O_Oyorz,2855.0,9
823,tch1cherin,2855.0,9
826,d1mk,2854.0,9
827,farkon00,2851.0,9
827,Kriz_Wu,2851.0,9
829,aimoon,2850.0,9
829,hwpvector,2850.0,9
831,Teranj,2849.0,9
831,sandstone,2849.0,9
831,BestCrazyNoob,2849.0,9
831,IanISam,2849.0,9
835,_greedy,2848.0,9
835,neetman,2848.0,9
837,evenvalue,2846.0,9
837,karansrivastava,2846.0,9
837,Wael_Zaiback,2846.0,9
840,sparsh_16,2845.0,9
841,jh01533,2844.0,9
841,JagguBandar,2844.0,9
841,Ghulam_Junaid,2844.0,9
841,verOchka,2844.0,9
841,AyuAnchor,2844.0,9
846,Ivan_Kolosov,2842.0,9
847,MrPizza,2841.0,9
847,balakrishnan,2841.0,9
847,fxhnsoen,2841.0,9
850,RigBuhBuh,2840.0,9
851,ikrpprppp,2839.0,9
851,tifv,2839.0,9
853,Mukundan314,2838.0,9
853,lingehhhc,2838.0,9
855,wjyyy,2837.0,9
855,stan23456,2837.0,9
855,Lucina,2837.0,9
858,kiwi_1,2835.0,9
859,volkov179,2832.0,9
859,SirTechnical,2832.0,9
861,_LeMur_,2829.0,9
862,yupooh,2826.0,9
862,__Morgan,2826.0,9
864,Eslam_Saleh,2825.0,9
864,BortiK,2825.0,9
866,TimurKul,2824.0,9
866,Ridham.,2824.0,9
866,sjm150,2824.0,9
869,NatanVek,2823.0,9
869,vsinitsynav,2823.0,9
871,justin_zed,2822.0,9
872,AdhityaMangudy,2821.0,9
872,anfanite396,2821.0,9
872,juneharold,2821.0,9
